COUNTY,Main ID,area,lon,lat,pwcr_per_day,PD_E,Annual_elec_demand,utilisation_1,cost,Annual_Energy
Nandi,4273,10000,34.89096918,-0.021359665,0.0,,0.0,,,0.0
Nyamira,4274,10000,34.89096918,-0.700795065,0.0,,0.0,,,0.0
Nyamira,4275,10000,34.89096918,-0.603732865,0.0,,0.0,,,0.0
Nyamira,4276,10000,34.89096918,-0.506670665,0.0,,0.0,,,0.0
Homa Bay,4277,10000,34.89096918,-0.409608465,0.0,,0.0,,,0.0
Kakamega,4279,10000,34.89096918,0.561013535,0.0,,0.0,,,0.0
Bungoma,4281,10000,34.89096918,0.755137935,0.0,,0.0,,,0.0
Trans Nzoia,4286,10000,34.89096918,1.240448935,0.0,,0.0,,,0.0
West Pokot,4287,10000,34.89096918,1.337511135,0.0,,0.0,,,0.0
West Pokot,4288,10000,34.89111887,1.4344897,0.0,,0.0,,,0.0
West Pokot,4289,6400,34.90073261,1.5195016,0.0,,0.0,,,0.0
Trans Nzoia,4292,10000,34.89096918,1.046324535,0.0,,0.0,,,0.0
Trans Nzoia,4293,10000,34.89096918,1.143386735,0.0,,0.0,,,0.0
Narok,4294,10000,34.80691085,-1.040512765,0.0,,0.0,,,0.0
Narok,4295,10000,34.80691085,-0.943450565,0.0,,0.0,,,0.0
Kisii,4296,10000,34.80691085,-0.846388365,0.0,,0.0,,,0.0
Kisii,4297,10000,34.80691085,-0.749326165,0.0,,0.0,,,0.0
Narok,4300,10000,34.80691085,-1.234637165,0.0,,0.0,,,0.0
Narok,4301,10000,34.80691085,-1.137574965,0.0,,0.0,,,0.0
Kisumu,4303,10000,34.80691085,-0.166952965,0.0,,0.0,,,0.0
Kisumu,4304,10000,34.80691085,-0.069890765,0.0,,0.0,,,0.0
Nandi,4305,10000,34.80691085,0.027171435,0.0,,0.0,,,0.0
Kisii,4306,10000,34.80691085,-0.652263965,0.0,,0.0,,,0.0
Kisii,4307,10000,34.80691085,-0.555201765,0.0,,0.0,,,0.0
Homa Bay,4308,10000,34.80691085,-0.458139565,0.0,,0.0,,,0.0
Homa Bay,4309,10000,34.80691085,-0.361077365,0.0,,0.0,,,0.0
Kakamega,4310,10000,34.80691085,0.512482435,0.0,,0.0,,,0.0
Bungoma,4311,10000,34.80691085,0.609544635,0.0,,0.0,,,0.0
Bungoma,4312,10000,34.80691085,0.706606835,0.0,,0.0,,,0.0
Bungoma,4313,10000,34.80691085,0.803669035,0.0,,0.0,,,0.0
Vihiga,4314,10000,34.80691085,0.124233635,0.0,,0.0,,,0.0
Kakamega,4317,10000,34.80691085,0.415420235,0.0,,0.0,,,0.0
Turkana,4318,10000,34.89096918,4.734688135,0.0,,0.0,,,0.0
Turkana,4322,10000,34.80691085,4.394970435,0.0,,0.0,,,0.0
Turkana,4323,10000,34.80691085,4.492032635,0.0,,0.0,,,0.0
Turkana,4324,10000,34.80691085,4.589094835,0.0,,0.0,,,0.0
Turkana,4325,10000,34.80691085,4.686157035,0.0,,0.0,,,0.0
Turkana,4326,10000,34.80691085,4.006721635,0.0,,0.0,,,0.0
Turkana,4327,10000,34.80691085,4.103783835,0.0,,0.0,,,0.0
Turkana,4328,10000,34.80691085,4.200846035,0.0,,0.0,,,0.0
Turkana,4329,10000,34.80691085,4.297908235,0.0,,0.0,,,0.0
West Pokot,4333,3100,34.83617546,1.28893152,0.0,,0.0,,,0.0
West Pokot,4334,6800,34.81969638,1.385483048,0.0,,0.0,,,0.0
West Pokot,4335,400,34.84082276,1.456057502,0.0,,0.0,,,0.0
Trans Nzoia,4336,10000,34.80691085,0.900731235,0.0,,0.0,,,0.0
Trans Nzoia,4339,9400,34.80824047,1.189052143,0.0,,0.0,,,0.0
Turkana,4340,10000,34.80705309,2.842056095,0.0,,0.0,,,0.0
Turkana,4341,10000,34.80691085,2.939037435,0.0,,0.0,,,0.0
Turkana,4342,10000,34.80691085,3.036099635,0.0,,0.0,,,0.0
Turkana,4343,10000,34.80691085,3.133161835,0.0,,0.0,,,0.0
Turkana,4344,4900,34.8250138,2.660266237,0.0,,0.0,,,0.0
Turkana,4345,8200,34.81502337,2.74478861,0.0,,0.0,,,0.0
Turkana,4346,10000,34.80691085,3.618472835,0.0,,0.0,,,0.0
Turkana,4347,10000,34.80691085,3.715535035,0.0,,0.0,,,0.0
Turkana,4348,10000,34.80691085,3.812597235,498.31547719572586,0.006642691678795358,1.5942460029108858,7.016317015542593,884.3681139647412,22.72197791774946
Turkana,4349,10000,34.80691085,3.909659435,12.148578497826021,0.0006241678931058594,0.14980029434540626,6.909481372014265,83.09796828075548,2.1680396296044457
