COUNTY,Main ID,s_LCOE,d_LCOE,util
Wajir,1,0.6238704153614721,0.5892365632200836,6.212105512429145
Wajir,2,0.5789386060939079,0.5806115793576256,6.70372569492112
Mandera,3,0.49386366872518406,0.5646994340728029,7.894281102740349
Mandera,4,0.4712803200422901,0.5604574142596018,8.239257250174653
Wajir,5,0.6868580431854655,0.6010217255779643,5.685092462691194
Wajir,6,0.668467452543889,0.5974797659818993,5.831936453149876
Wajir,7,0.6564940416675231,0.5951737314244612,5.908945391606923
Wajir,8,0.6458958742566632,0.5934342543436755,6.013367391189227
Mandera,9,0.3357404633891912,0.5345625171115961,11.628173053030972
Mandera,10,0.30847063941795116,0.5296544411977997,12.651785191046148
Mandera,11,0.3038034069641299,0.5287847773707712,12.717664041984463
Mandera,12,0.2873764805674065,0.5258778570437236,13.42894108727875
Mandera,13,0.46363787254187633,0.5589431845355158,8.330105396269174
Mandera,14,0.4334792028724085,0.5530997205651405,8.99262024203879
Mandera,15,0.3891472695069794,0.5447643810251815,10.167394873969574
Mandera,16,0.34755249970822943,0.5367746366326208,11.33770781489692
Mandera,17,0.20906000264344504,0.5124228687441076,19.86544999577697
Mandera,18,0.20548195855330254,0.5116543040291199,20.057087686712105
Mandera,19,0.19537537756448026,0.5097766933802754,20.960179184257328
Mandera,20,0.1933153086870345,0.5094260787053173,21.151370748891573
Mandera,21,0.2844485392906104,0.5255407852897819,13.596180778296866
Mandera,22,0.2789570868671587,0.524621877984324,14.168709004002688
Mandera,23,0.2257378081393815,0.5154503119689108,18.07785778676503
Mandera,24,0.2195330814515057,0.5142910505643894,18.89813761400848
Mandera,25,0.19369964562188424,0.5094736922394684,20.725513890164322
Mandera,26,0.19849445718620295,0.5104084643315694,19.9219286687514
Mandera,27,0.19999475959809868,0.5106581095692831,19.457801677923268
Garissa,28,1.2668406028225934,0.7127242169603183,3.3722762567935716
Garissa,29,1.2668406028225936,0.7127242169603184,3.3479335456477846
Garissa,30,1.2668406028225936,0.7127242169603183,3.341456880788026
Garissa,31,1.2668406028225934,0.7127242169603183,3.312526634320359
Garissa,32,1.266840602822593,0.7127242169603181,3.5749752124258394
Garissa,33,1.2668406028225936,0.7127242169603184,3.5266968326247725
Garissa,34,1.2668406028225934,0.7127242169603184,3.463065857003145
Garissa,35,1.2668406028225934,0.7127242169603184,3.4062950323466943
Garissa,36,1.073415471997487,0.6754712536597662,3.8134196085844283
Garissa,37,0.9497623899167859,0.6516561283495108,4.28242964143305
Garissa,38,0.8988233213455966,0.6418454525394337,4.51583503002698
Garissa,39,0.844277861790056,0.6313401991922274,4.811128053120303
Garissa,40,1.2668406028225936,0.7127242169603184,3.2910354881196984
Garissa,41,1.2668406028225934,0.7127242169603184,3.2511804286522104
Garissa,42,1.2668406028225936,0.7127242169603185,3.2334590120624997
Garissa,43,1.1995253696854125,0.6997595525502166,3.408983126417226
Wajir,44,0.6496253054550004,0.5938508382876968,6.090877690731183
Wajir,45,0.6350545979663628,0.5910445740291602,6.213529942617642
Wajir,46,0.6260870589142589,0.5893174592443375,6.351033919481904
Wajir,47,0.661401511757788,0.596118891975168,6.0017862242722595
Garissa,48,0.7897435912868759,0.6208371008150352,5.064007239063021
Garissa,49,0.7165979721304669,0.6067495256669346,5.535229353681016
Garissa,50,0.6521950193475505,0.5943457556592078,6.041994308208129
Garissa,51,0.690305319888491,0.60168565829424,5.703443548192149
Wajir,52,0.77583209352786,0.6181577979071783,5.068512154472931
Wajir,53,0.7664912526208562,0.6163587865686799,5.142215683815195
Wajir,54,0.757490273082069,0.6146252312700632,5.189014341005549
Wajir,55,0.7612164622625782,0.6153428814957619,5.14434014344215
Wajir,56,0.7026837406851013,0.6040696962612189,5.63367302785918
Wajir,57,0.7999725289767922,0.6228071563023476,4.938952031433456
Wajir,58,0.7845537298244748,0.6198375527326893,5.042705361607211
Wajir,59,0.7727304392918012,0.6175604307970515,5.102300362818613
Garissa,61,1.2668406028225936,0.7127242169603185,3.6078315584486487
Garissa,62,1.2668406028225936,0.7127242169603184,3.59155223882269
Garissa,63,1.2668406028225936,0.7127242169603185,3.5489798909439063
Lamu,64,1.2668406028225934,0.7127242169603182,3.567455666007241
Lamu,65,1.2668406028225931,0.7127242169603182,3.5762776929911326
Lamu,66,1.2668406028225936,0.7127242169603184,3.569445036928745
Lamu,67,1.2668406028225936,0.7127242169603184,3.59641346495612
Garissa,68,1.2668406028225936,0.7127242169603185,3.332055108840341
Garissa,69,1.2668406028225934,0.712724216960318,3.320748387026124
Garissa,70,1.2668406028225934,0.7127242169603185,3.2883862371572214
Garissa,71,1.2668406028225934,0.7127242169603183,3.2760329349410706
Garissa,72,1.2668406028225934,0.7127242169603183,3.500993456075325
Garissa,73,1.2668406028225931,0.712724216960318,3.4457391854824744
Garissa,74,1.2668406028225934,0.7127242169603185,3.386847046170516
Garissa,75,1.2668406028225934,0.7127242169603185,3.3457329223059786
Garissa,76,0.9655788564849921,0.6547023211895847,4.215898440134918
Garissa,77,0.8789471209478156,0.6380173700104761,4.606085513232705
Garissa,78,0.8203056461740499,0.6267232393134022,4.955979827900435
Garissa,79,0.7649577208269688,0.616063434028944,5.2634067612908355
Garissa,80,1.2668406028225934,0.7127242169603183,3.2543450006831534
Garissa,81,1.2668406028225931,0.7127242169603183,3.239418198427838
Garissa,82,1.2668406028225931,0.7127242169603185,3.233096809259654
Garissa,83,1.1210429233273258,0.6846441242630882,3.644714846725043
Wajir,84,0.5850896979657015,0.581421519475182,6.770436069232963
