COUNTY,Main ID,area,lon,lat,pwcr_per_day,PD_E,Annual_elec_demand,utilisation_1,cost,Annual_Energy
Wajir,1,9900,40.94246191,2.01694795,64979.85054920135,5.204770951754053,9051.08128530401,46.802747434963656,692931.9758908241,19338.78197616763
Wajir,2,9900,40.94256157,2.114009849,65501.162756490856,5.24422693586463,9154.064034592475,47.06064608234193,698184.9088794016,19451.63272636679
Mandera,3,9900,40.94263238,2.21107241,66086.78782388246,5.288539650075497,9227.175400402562,47.45726427443782,704084.4377731512,19443.12539181204
Mandera,4,9900,40.94272046,2.308133492,65849.82817015673,5.270610907294683,9270.709496202588,48.01297750126655,701697.5125317704,19308.757712345654
Wajir,5,9900,40.94266496,1.628698501,66017.65653117176,5.283309259044911,9216.859392384213,47.52088600123579,703388.0948936852,19395.38625636005
Wajir,6,9900,40.9426522,1.725759044,65805.47563059207,5.267254916984892,9173.091185815669,47.364146717719294,701250.7161178666,19367.162340082745
Wajir,7,9900,40.94255661,1.822820973,65344.20723520339,5.232348578129223,9065.048159135866,47.14478032833844,696603.4956006559,19228.105626969947
Wajir,8,9900,40.94245352,1.919882851,64885.90769617625,5.197659826261507,9014.156435511002,46.82510140058262,691985.2433094995,19250.692824765232
Mandera,9,10000,40.94284429,2.79344058,70040.54412607233,5.587420845690902,9823.02837912776,49.236518836854046,743875.6868702126,19950.696375746047
Mandera,10,10000,40.94316901,2.890506335,69054.04229240963,5.512892930136674,9682.514308322203,49.040518963706866,733953.487360816,19743.906697822436
Mandera,11,10000,40.94316901,2.987568535,69040.31210787813,5.5118554357763925,9632.229853517934,49.20683182791823,733815.3615866542,19574.984805367912
Mandera,12,10000,40.94316901,3.084630735,68636.24328993322,5.481320152169651,9557.523095769675,49.13523887516742,729750.0771389543,19451.463582076885
Mandera,13,10000,40.94278032,2.405194845,65512.764434368684,5.245104915404531,9199.166504096378,48.13791780085728,698301.7978074668,19110.02163025122
Mandera,14,10000,40.94281639,2.502256905,64466.940991285985,2.6280290443378083,4620.7487345081,47.56579601835079,349880.0187888698,9714.43583688881
Mandera,15,10000,40.94277583,2.599319735,65977.19369997275,2.6862375463660766,4749.6110270469435,47.85603523572872,357629.54949790123,9924.790057620452
Mandera,16,10000,40.94279685,2.696382126,68212.34413801612,5.449280821614457,9607.114312476131,48.42424984022147,725484.5529048191,19839.469571909412
Mandera,17,10000,40.94316901,3.569941735,68133.3395712183,5.443308839716079,9617.57561039937,49.53669082100783,724689.4790667604,19415.054681691996
Mandera,18,10000,40.94316901,3.667003935,68951.12934981812,5.505116374200992,9782.043669988849,50.73043763897098,732918.1633628749,19282.395589811174
Mandera,19,10000,40.94316901,3.764066135,70061.01017750175,5.588966694030638,9869.970665885385,50.887330251883924,744081.491843075,19395.73292021934
Mandera,20,10000,40.94316901,3.861128335,69740.75111778412,5.564775327889195,9830.768587563341,51.07318730280633,740860.7985032,19248.394523094837
Mandera,21,10000,40.94316901,3.181692935,67000.35360280138,5.357644210390175,9339.989698486334,48.73974555243138,713284.6043060856,19162.9841161951
Mandera,22,10000,40.94316901,3.278755135,64487.43636416404,2.62881924031725,4648.167886374622,48.44735259209633,349985.22074039676,9594.266018021635
Mandera,23,10000,40.94316901,3.375817335,64846.83202231106,2.642674518415244,4680.435019423489,48.24838184234387,351829.8293346951,9700.708792094318
Mandera,24,10000,40.94316901,3.472879535,66256.63273246455,5.3013892430435074,9362.221165373281,48.5500848365066,705795.1554833543,19283.63502741705
Mandera,25,10000,40.94316901,3.958190535,69618.99307576902,5.5555772879280765,9800.038099179803,51.61542470340916,739636.2266510165,18986.646250597485
Mandera,26,10000,40.94316901,4.055252735,69248.27402065287,5.527569044396506,9672.755784490977,51.31478561989419,735907.3771566844,18849.841556662286
Mandera,27,4100,40.93170035,4.129481224,68877.11393981,0.4745079349221528,825.3006608887883,51.47960091357673,63173.13940792589,1603.160565044574
Garissa,28,10000,40.94316901,-1.089043865,64578.045123729564,2.6323125610317795,4529.646575758049,49.83891051724818,350450.3005004049,9088.57462722913
Garissa,29,10000,40.94316901,-0.991981665,64862.22031064625,2.6432677124355766,4603.3814451232165,50.244393833613096,351908.80362739804,9161.980260658635
Garissa,30,10000,40.94316901,-0.894919465,63812.00466985035,2.602774263384838,4604.144289841882,50.640355901499355,346517.74878147704,9091.848206591223
Garissa,31,10000,40.94274801,-0.797857255,63898.18448380708,2.606097838629845,4611.459330622351,50.87613976696234,346960.22964814573,9064.090459191864
Garissa,32,10000,40.94316901,-1.477292665,59331.93302157817,2.4298131794720392,4132.462798419307,47.66601563437222,323490.7478358305,8669.620784161714
Garissa,33,10000,40.94316901,-1.380230465,59447.81500929156,2.4342917368391124,4166.3612964086215,48.383821622190034,324086.9960923384,8611.062865066913
Garissa,34,10000,40.94316901,-1.283168265,61108.67153390343,2.4984516061958035,4273.871282476127,48.77432413269833,332628.8561392721,8762.543322688343
Garissa,35,10000,40.94316901,-1.186106065,62986.44846828524,2.5709296125025745,4419.686987923154,49.55852709943025,342278.14303091774,8918.116107558744
Garissa,36,10000,40.94275455,-0.312546253,66917.99629620816,5.351415599338959,9574.017222881432,51.828527994950754,712455.364402393,18472.485315064616
Garissa,37,10000,40.94275608,-0.215484053,68321.41441593459,5.457525157719173,9678.032265343365,51.91785932259727,726582.1543477844,18641.046436849134
Garissa,38,10000,40.94275761,-0.118421853,68660.27458097771,5.4831363272060285,9784.205755510051,51.629288691966096,729991.8717862474,18950.882344874426
